,Price,Beds,Baths,Area,Pets,Street,City,Region,Zip
259,"5,534 ",3,2,"1,100",Yes,"600 W 58th St Apt 5K,                  ",New York,NY,10019
260,"2,100 ",1,1,800,Yes,"2785 Ocean Pkwy Apt 3E,                  ",Brooklyn,NY,11235
261,"3,100 ",4,2,690,Yes,"1078 Dekalb Ave,                  ",Brooklyn,NY,11221
262,"8,900 ",2,2,700,Yes,"1113 York Ave Apt 27B,                  ",New York,NY,10065
263,"3,799 ",4,2,880,Yes,"22 Weirfield St,                  ",Brooklyn,NY,11221
265,"2,631",0,1,442,Yes,"345 E 94th St,                  ",New York,NY,10128
266,"21,000 ",3,3,"2,492",Yes,"1085 Park Ave Apt 11B,                  ",New York,NY,10128
267,"2,400 ",3,1,"1,000",No,"310 E 29th St Apt 3,                  ",Brooklyn,NY,11226
268,"1,175 ",5,2,1,No,"222 Malcolm X Blvd,                  ",Brooklyn,NY,11221
269,"2,799 ",1,1,700,Yes,"978 Metropolitan Ave,                  ",Brooklyn,NY,11211
270,"2,400 ",3,1,"1,100",Yes,"1032 Ralph Ave,                  ",Brooklyn,NY,11236
271,"2,750 ",3,1,850,Yes,"1925 Putnam Ave,                  ",Ridgewood,NY,11385
272,"2,000 ",2,1,"1,000",Yes,"31 Clinton Ave,                  ",Staten Island,NY,10301
273,"2,795 ",3,1,"1,100",Yes,"569 W 171st St,                  ",New York,NY,10032
274,"1,850 ",2,2,"1,500",No,"5 Wright Ave,                  ",Staten Island,NY,10303
275,"4,500 ",3,2,800,Yes,"561 4th Ave,                  ",Brooklyn,NY,11215
276,"2,900 ",3,1,850,No,"99 Vernon Ave,                  ",Bedstuy,NY,11206
277,"3,449 ",1,1,680,Yes,"81 Clifton Pl,                  ",Brooklyn,NY,11238
278,"2,799 ",3,1,850,Yes,"126 Malcolm X Blvd,                  ",Bedstuy,NY,11221
279,"6,167 ",2,2,"1,004",Yes,"189 W 89th St Apt 7J,                  ",New York,NY,10024
280,"1,788 ",1,1,500,Yes,"700 Ocean Ave,                  ",Brooklyn,NY,11226
281,"2,899 ",1,1,800,Yes,"577 Vanderbilt Ave,                  ",Brooklyn,NY,11238
282,"3,499 ",1,1,700,Yes,"185 S 4th St,                  ",Brooklyn,NY,11211
283,"3,257 ",2,2,800,Yes,"228 Manhattan Ave,                  ",Brooklyn,NY,11206
284,"2,400 ",3,1,"1,200",No,"15 Van Buren St # 1ST,                  ",Staten Island,NY,10301
286,"2,300 ",3,1,"1,596",No,"205 Oakland Ave Apt 2,                  ",Staten Island,NY,10310
287,"1,550 ",1,1,750,No,"3376 Fenton Ave,                  ",Bronx,NY,10469
288,"1,750 ",2,1,"1,000",No,"1 Edgar Ter # A,                  ",Staten Island,NY,10301
289,"4,800 ",4,2,880,Yes,"553 Grand St,                  ",Brooklyn,NY,11211
290,"2,395 ",3,2,"1,000",Yes,"109 E 93rd St,                  ",Brooklyn,NY,11212
291,"2,395 ",3,2,990,Yes,"990 Rutland Rd,                  ",Brooklyn,NY,11212
292,"4,612 ",2,2,900,Yes,"42-20 24th St Apt 21D,                  ",Queens,NY,11101
294,"2,100 ",2,1,"1,000",No,"83-43 118th St Apt 5B,                  ",Kew Gardens,NY,11415
295,"3,300 ",3,1,"1,600",No,"75-24 168 St,                  ",Fresh Meadows,NY,11366
